idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
643,456,-4.3284934319736,-5.76281697543767,-0.74519599142,0.999709198802746,0.0168596885066202,0.000616225985072419,-0.0172304671488069
0,456,0.960934483080504,1.8221339090776,-0.174172942948,0.543717415764284,-0.00582557221576676,0.0111554518084263,-0.839173992922753
645,189,-0.666134774322387,4.30285330421818,-0.121591196312,0.765295644462435,0.00352529959341506,0.00844996765427172,0.643613818120963
2,458,-6.1601,-2.63832,-0.138012,0.89046,-0.00620631,0.00112227,-0.455022
189,270,-7.56343,-2.3462,-0.0175649,-0.0363803,-0.0112928,0.0111922,0.999213
646,189,-0.206895,3.52396,-0.0249191,0.751883,0.00735996,-0.0024035,-0.65926
3,273,3.78781,-10.2988,0.0290464,0.95967,-0.0060697,0.00411303,0.281042
189,273,14.491,-1.3341,0.266964,0.704914,-0.0253122,-0.00301906,0.708837
273,458,0.916676,10.7668,-0.0106921,0.996659,-0.00357847,-0.00276677,0.081563
647,635,-7.08002,-1.39825,-0.229516,0.999014,-0.0365143,-0.0118153,-0.0223912
179,192,2.7356,2.76481,0.0406516,0.918705,-0.0372885,0.0132949,0.392957
191,635,-4.29025,3.89602,-0.109819,0.927675,-0.0310934,0.0071476,-0.372029
459,635,-3.75965,6.16816,-0.272736,0.805242,-0.0346194,-0.00127087,-0.591938
648,461,3.10069,7.97311,0.00681136,0.50767,0.0185966,0.0143863,-0.861227
191,274,-9.92491,1.89483,0.317188,0.886553,0.00814327,0.0141022,-0.462344
649,178,1.62565,2.61033,-0.311942,-0.437939,0.0213265,0.0435471,0.897713
6,178,-3.86667,1.44112,-0.410974,0.994976,0.02763,-0.0379459,-0.0884352
7,178,-6.2211,-1.17007,0.313473,0.772049,0.0045049,0.0238666,-0.635106
177,274,13.868,0.114144,-0.115518,0.959475,0.0350274,0.0158766,-0.279282
192,446,-23.0912,19.824,8.96147,0.679043,-0.383466,0.317324,-0.539592
275,462,0.490605,3.22288,0.0390264,0.847549,0.015978,-0.0151468,0.530263
650,177,-3.96942,-0.380123,-0.308419,0.42476,-0.00840208,-0.032768,0.904677
8,193,0.37642,8.39681,-0.500039,0.650855,-0.00496298,-0.00531072,-0.759185
177,463,-7.51265,-4.60476,0.234089,0.693385,0.0408279,0.00219021,0.719421
275,633,2.98541,2.06763,-0.265533,0.785209,-0.0145817,0.0365192,-0.618004
651,9,9.98763,-5.06264,0.0729263,0.997438,0.000793326,0.00641031,-0.0712681
9,176,-8.41862,-0.0868513,-0.483323,0.193934,-0.011212,-0.0347614,0.980336
176,276,3.13496,-2.63732,-2.28128,-0.0579625,-0.178803,0.894519,0.405595
195,445,-7.00455,3.0101,-0.0650599,0.000526591,-0.076483,0.99517,0.0616529
277,464,0.981206,2.81636,-0.0678813,0.948464,0.00454925,-0.010867,0.316665
652,175,-2.47411,-4.03424,-0.226767,0.776259,-0.0200723,-0.0265291,0.62955
9,196,2.01593,-1.20762,-0.0303519,0.617119,-0.00565821,0.000871963,0.786854
176,196,-10.0731,-2.97391,0.100499,0.891317,0.0338052,0.0208967,-0.451622
277,465,5.93911,12.9779,-0.0356923,0.995492,0.0037507,-0.00782878,-0.0944557
653,278,-3.65223,-2.04067,-0.0631792,0.995133,0.000312457,-0.00134066,0.0985316
11,279,0.548819,5.27261,0.0865288,0.504841,-0.00118375,0.00138287,-0.863208
174,466,-4.93882,3.38958,-0.259339,-0.0350411,-0.0344254,-0.0186941,0.99862
278,442,11.0586,0.732857,-0.332525,0.293099,0.0145901,-0.028557,0.955561
465,630,2.92505,0.0566819,-0.2179,0.783794,0.0219123,0.0223358,0.620235
654,467,10.5766,-2.85161,-0.105311,0.939893,-0.000646404,-0.0111475,-0.341294
12,442,-13.2743,4.82191,0.0256669,0.652816,-0.00137346,-0.0345997,0.756727
197,442,-4.45999,-0.432382,-0.261895,0.993372,-0.0257799,-0.0219209,-0.109856
442,467,-6.18409,-11.746,-0.513694,-0.237799,0.0210544,-0.0344687,0.970475
655,467,-1.25385,-1.34098,-0.0407812,-0.121001,0.00914734,0.00482331,0.992599
172,281,0.0756914,-2.35348,-0.184059,0.977723,0.0376769,0.00470616,-0.20646
199,468,-6.606,3.82004,-0.256194,0.966934,0.000702522,0.000169037,0.255028
656,468,-2.46442,0.194323,-0.0830279,0.897754,0.00653069,0.00672639,0.440401
200,282,1.9143,-0.0977691,-0.104265,0.721894,-0.00308136,0.00361752,-0.691988
13,201,4.48848,12.1677,-0.446728,-0.00680423,-0.00194749,-0.00109791,0.999976
201,282,2.77861,8.15513,0.328689,0.111863,-0.000729593,-0.0030123,0.993719
658,470,1.48388,0.838883,-0.102972,0.271015,-0.00473946,-0.00168915,0.962563
16,470,-9.8752,2.08351,0.309913,0.639024,0.00161401,-0.000541685,0.769186
