idx1,idx2,t_x,t_y,t_z,q_w,q_x,q_y,q_z
643,456,-4.3284934319736,-5.76281697543767,-0.74519599142,0.999709198802746,0.0168596885066202,0.000616225985072419,-0.0172304671488069
0,456,0.960934483080504,1.8221339090776,-0.174172942948,0.543717415764284,-0.00582557221576676,0.0111554518084263,-0.839173992922753
645,189,-0.666134774322387,4.30285330421818,-0.121591196312,0.765295644462435,0.00352529959341506,0.00844996765427172,0.643613818120963
2,458,-6.19953,-2.65403,-0.12368,0.89012,-0.00525799,0.00207949,-0.455691
189,270,-7.55669,-2.32076,-0.0305411,-0.035999,-0.0114076,0.0120986,0.999223
646,189,-0.207452,3.53503,-0.0178999,0.752098,0.00830886,-0.00325675,-0.658995
3,273,3.78584,-10.315,0.0211105,0.959598,-0.00622354,0.00433944,0.281296
189,273,14.4737,-1.33278,0.260887,0.705782,-0.0237057,-0.0011509,0.708033
273,458,0.887461,10.8043,0.0323347,0.996581,-0.00212881,-0.00337268,0.0825046
647,635,-7.06716,-1.41076,-0.258749,0.998951,-0.0378602,-0.0121665,-0.0228336
179,192,2.68326,2.76497,0.0369534,0.918319,-0.038015,0.0136178,0.393802
191,635,-7.38108,1.10261,1.82139,0.140696,0.975211,0.139933,-0.0979146
459,635,-3.80494,6.16723,-0.242642,0.804733,-0.0354098,0.00155943,-0.592567
648,461,3.08537,7.9736,0.04577,0.506986,0.0166155,0.0178103,-0.861622
191,274,-9.94615,1.88141,0.315068,0.886715,0.00817792,0.0150155,-0.462008
649,178,1.67239,2.61314,-0.292219,-0.437447,0.0203893,0.0419064,0.898075
6,178,-3.82718,1.37399,-0.402628,0.995097,0.0259079,-0.0382772,-0.0875614
7,178,-4.03489,-1.77278,-3.07937,0.806891,0.124938,-0.0157435,-0.577247
177,274,13.8034,0.0855191,-0.124079,0.959447,0.0360208,0.0162754,-0.279135
192,446,3.19928,-8.65324,0.000154419,0.529572,-0.0281512,-0.0264751,0.847399
275,462,0.497729,3.24778,0.0831895,0.847631,0.0173881,-0.0139874,0.530235
650,177,-3.92928,-0.369933,-0.317105,0.425335,-0.0097631,-0.0355376,0.904286
8,193,1.75233,18.5107,-0.755319,0.633775,-0.00766489,-0.00556543,-0.773469
177,463,-9.20615,-4.97984,0.248153,0.690495,0.0466789,-0.00511472,0.721813
275,633,3.56951,4.3773,-0.163682,0.787788,-0.0127063,0.0348533,-0.614834
651,9,0.231381,0.123651,-0.155345,0.996091,0.00811184,0.00103489,-0.0879725
9,176,-8.45337,-0.134182,-0.458976,0.193425,-0.0102155,-0.0339976,0.980475
176,276,-9.08625,3.32306,-4.92487,-0.0409773,0.0843374,0.63439,0.767312
195,445,9.40028,1.5157,2.27524,0.562092,0.0726436,0.0286879,0.823418
277,464,1.02316,2.84183,-0.0355197,0.948238,0.00436338,-0.0108923,0.317348
652,175,-2.49787,-4.05889,-0.192963,0.776581,-0.0215735,-0.0269823,0.629065
9,196,1.99421,-1.21191,-0.0128048,0.617322,-0.00514433,0.000483852,0.78672
176,196,-10.0321,-2.99151,0.106699,0.890725,0.0308967,0.0196762,-0.453072
277,465,5.92451,12.9931,0.0342523,0.995535,0.00464341,-0.00598683,-0.0941079
653,278,-3.68594,-2.00903,-0.067911,0.995196,0.00127387,-0.00158829,0.0979378
11,279,0.542022,5.30864,0.0831838,0.504859,-0.000834462,0.00218095,-0.863198
174,466,-4.91532,3.40433,-0.332445,-0.0349351,-0.0371955,-0.0179743,0.998537
278,442,11.0645,0.776266,-0.351283,0.294516,0.0152837,-0.0288229,0.955117
465,630,2.91238,0.101632,-0.141206,0.784547,0.0244107,0.0236005,0.619142
654,467,10.5858,-2.82959,-0.0936113,0.93975,-0.000361842,-0.0108631,-0.341706
12,442,-13.3064,4.86053,-0.0323012,0.652637,-0.000790854,-0.0348204,0.756878
197,442,-4.48931,-0.424518,-0.278719,0.993293,-0.024912,-0.0228572,-0.11056
442,467,-6.15973,-11.8015,-0.498628,-0.2393,0.0206155,-0.033056,0.970169
655,467,-1.26741,-1.33684,-0.0735847,-0.120733,0.00911796,0.00469863,0.992646
172,281,0.092145,-2.34711,-0.194079,0.977839,0.0384017,0.00539145,-0.205776
199,468,-6.6037,3.79694,-0.24506,0.966862,0.000968555,0.000611099,0.255354
656,468,-2.47801,0.193828,-0.0940718,0.897545,0.00632051,0.0074138,0.440864
200,282,1.9391,-0.105779,-0.0873609,0.721486,-0.00338976,0.00326133,-0.692415
13,201,4.48169,12.1828,-0.434289,-0.00682544,-0.00197584,-0.00197791,0.999975
201,282,2.79987,8.15141,0.316058,0.112478,-0.000351365,-0.00302666,0.99365
658,470,1.4898,0.862922,-0.12683,0.269952,-0.0040231,-0.00278968,0.96286
16,470,-9.84402,2.07362,0.31168,0.638952,0.00106755,-0.000593473,0.76924
